sample_name,Broken,species,object_num,age
MV1012-BC-12,unbroken,NOT FORAM,1,1994
MV1012-BC-12,unbroken,suggrunda eckisi,2,1994
MV1012-BC-12,broken,bulimina exilis,3,1994
MV1012-BC-12,unbroken,nonionella stella,4,1994
MV1012-BC-12,unbroken,NOT FORAM,5,1994
MV1012-BC-12,unbroken,suggrunda eckisi,6,1994
MV1012-BC-12,broken,suggrunda eckisi,7,1994
MV1012-BC-12,broken,melonis affinis,8,1994
MV1012-BC-12,unbroken,nonionella stella,9,1994
MV1012-BC-12,broken,suggrunda eckisi,10,1994
MV1012-BC-12,unbroken,suggrunda eckisi,11,1994
MV1012-BC-12,broken,nonionella stella,12,1994
MV1012-BC-12,broken,bolivina argentea,13,1994
MV1012-BC-12,broken,suggrunda eckisi,14,1994
MV1012-BC-12,broken,suggrunda eckisi,15,1994
MV1012-BC-12,broken,NOT FORAM,16,1994
MV1012-BC-12,broken,NOT FORAM,17,1994
MV1012-BC-12,broken,suggrunda eckisi,18,1994
MV1012-BC-12,broken,nonionella stella,19,1994
MV1012-BC-12,unbroken,fursenkoina bradyi,20,1994
MV1012-BC-12,unbroken,bolivina seminuda,21,1994
MV1012-BC-12,broken,chilostomella oolina,22,1994
MV1012-BC-12,unbroken,bolivina argentea,23,1994
MV1012-BC-12,unbroken,nonionella stella,24,1994
MV1012-BC-12,broken,bulimina exilis,25,1994
MV1012-BC-12,broken,suggrunda eckisi,26,1994
MV1012-BC-12,unbroken,bolivina seminuda,27,1994
MV1012-BC-12,broken,NOT FORAM,28,1994
MV1012-BC-12,unbroken,NOT FORAM,29,1994
MV1012-BC-12,broken,suggrunda eckisi,30,1994
MV1012-BC-12,unbroken,nonionella stella,31,1994
MV1012-BC-12,unbroken,suggrunda eckisi,32,1994
MV1012-BC-12,broken,suggrunda eckisi,33,1994
MV1012-BC-12,broken,bolivina argentea,34,1994
MV1012-BC-12,unbroken,chilostomella oolina,35,1994
MV1012-BC-12,unbroken,nonionella stella,36,1994
MV1012-BC-12,broken,bulimina exilis,37,1994
MV1012-BC-12,broken,suggrunda eckisi,38,1994
MV1012-BC-12,broken,bolivina argentea,39,1994
MV1012-BC-12,unbroken,bolivina argentea,40,1994
MV1012-BC-12,broken,suggrunda eckisi,41,1994
MV1012-BC-12,unbroken,NOT FORAM,42,1994
MV1012-BC-12,unbroken,bolivina sp. a,43,1994
MV1012-BC-12,broken,NOT FORAM,44,1994
MV1012-BC-12,broken,suggrunda eckisi,45,1994
MV1012-BC-12,broken,bolivina argentea,46,1994
MV1012-BC-12,unbroken,NOT FORAM,47,1994
MV1012-BC-12,broken,NOT FORAM,48,1994
MV1012-BC-12,unbroken,suggrunda eckisi,49,1994
MV1012-BC-12,unbroken,suggrunda eckisi,50,1994
MV1012-BC-12,unbroken,suggrunda eckisi,51,1994
MV1012-BC-12,broken,bolivina argentea,52,1994
MV1012-BC-12,broken,fursenkoina bradyi,53,1994
MV1012-BC-12,broken,NOT FORAM,54,1994
MV1012-BC-12,unbroken,chilostomella oolina,56,1994
MV1012-BC-12,unbroken,NOT FORAM,57,1994
MV1012-BC-12,unbroken,bolivina seminuda,58,1994
MV1012-BC-12,unbroken,bolivina seminuda,59,1994
MV1012-BC-12,broken,bolivina argentea,60,1994
MV1012-BC-12,unbroken,NOT FORAM,61,1994
MV1012-BC-12,broken,suggrunda eckisi,62,1994
MV1012-BC-12,broken,suggrunda eckisi,63,1994
MV1012-BC-12,unbroken,bolivina argentea,64,1994
MV1012-BC-12,broken,suggrunda eckisi,65,1994
MV1012-BC-12,unbroken,bolivina seminuda var. humilis,66,1994
MV1012-BC-12,broken,nonionella stella,67,1994
MV1012-BC-12,unbroken,chilostomella oolina,68,1994
MV1012-BC-12,unbroken,bolivina seminuda,69,1994
MV1012-BC-12,unbroken,NOT FORAM,70,1994
MV1012-BC-12,unbroken,bolivina argentea,71,1994
MV1012-BC-12,unbroken,NOT FORAM,72,1994
MV1012-BC-12,broken,suggrunda eckisi,73,1994
